,GUID,type,Manufacturer,Category,Family,Material,Roughness,ArticleNumber,Leveringsprogramma,Omschrijving,Artikelnummer,Afmetingen,System Type,System Abbreviation,Type,Afmeting,Buis type,Lengte,Afmetingen [mm],System Name,InvertElevation,Systeemtype,Systeemnaam,Binnendiameter,Kanaaltype,Diameter,Verbindingstype,Debiet
Pset_ProductRequirements,1bndFAdDX3YfNURezjGBTH,IfcBuildingElementProxy,,Duct Accessories,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1l$kDBjsP5EhEiHfaY2C7t,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1l$kDBjsP5EhEiHfaY2CPh,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,0b3BgSczDBSh86SByWXcJh,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ProductRequirements,2yq70TTAfAfPI5NM5JGY8q,IfcBuildingElementProxy,,Duct Accessories,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,3rStKB7dHA3ht$CcUIUlup,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1JHmlGybnEgfJzg12rD6u8,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1y8PcUpIX9sAPHe7Yqj3ln,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,2_FFy5w4f5gR_BNXeTyjCn,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,3rStKB7dHA3ht$CcUIUlEy,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,3rStKB7dHA3ht$CcUIUlom,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,2_FFy5w4f5gR_BNXeTyjUg,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1l$kDBjsP5EhEiHfaY2C3$,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,39xH8hzxnEVQQlAcyKUxpq,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,3benIB0jv82fBm165ihTrw,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1l$kDBjsP5EhEiHfaY2C8N,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1tHGVEGln5YR3a_F2JdegI,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1l$kDBjsP5EhEiHfaY2C5p,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1l$kDBjsP5EhEiHfaY2CsJ,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ProductRequirements,1GU_X06Kf3OPsvt8DGOJGQ,IfcBuildingElementProxy,,Mechanical Equipment,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,3benIB0jv82fBm165ihTw7,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1l$kDBjsP5EhEiHfaY2C$M,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,0p4Dd5cGH7Yhtvm3tNpRIO,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,3rStKB7dHA3ht$CcUIUlyp,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,39xH8hzxnEVQQlAcyKUxF0,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1y8PcUpIX9sAPHe7Yqj3jo,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1U1SYwMkH1U98wWHxrdhZm,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1JHmlGybnEgfJzg12rD6yM,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,3benIB0jv82fBm165ihTy6,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,2_FFy5w4f5gR_BNXeTyjMk,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,3benIB0jv82fBm165ihThz,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,2_FFy5w4f5gR_BNXeTyjAm,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ProductRequirements,1iRnjW8x96TOkxG85_Uwrz,IfcBuildingElementProxy,,Duct Accessories,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,2_FFy5w4f5gR_BNXeTyiaW,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,39xH8hzxnEVQQlAcyKUxBS,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,3rStKB7dHA3ht$CcUIUlmn,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,37WUPJwdb3Z9ScxQNBYVj9,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1tHGVEGln5YR3a_F2JdeeI,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,2_FFy5w4f5gR_BNXeTyj8p,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,3benIB0jv82fBm165ihTvu,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,2_FFy5w4f5gR_BNXeTyiXU,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,2_FFy5w4f5gR_BNXeTyjQi,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,39xH8hzxnEVQQlAcyKUx8e,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,37WUPJwdb3Z9ScxQNBYVXy,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,1JHmlGybnEgfJzg12rD6wB,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,39xH8hzxnEVQQlAcyKUxnA,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,37WUPJwdb3Z9ScxQNBYVlA,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
Pset_ManufacturerTypeInformation,3benIB0jv82fBm165ihT44,IfcBuildingElementProxy,n.t.b.,,,,,,,,,,,,,,,,,,,,,,,,,
